complaints_text_massachusetts,complaints_text_arizona
"Snowstorm - tree came down, took out all wires. NSTAR was there in under 24 hours, climbed the pole and power back on. After 4 no-show appointments from Comcast we finally were told our appointment had been cancelled. No call, no nothing, they said our driveway was not plowed well enough, so they just canceled our 4th appointment. The driveway HAD BEEN completely plowed and we have been driving in and out all day. Our 5th appoint, which Comcast tagged an emergency by the Comcast help desk is, again, a no-show. We are losing money everyday as one of our family members is an independent contractor who is dependent on our internet service. Why can this monopoly of a service on Cape Cod be allowed to continue to abuse and lie to customers. Can nothing be done about this? I am begging you to look into this matter. How can a company hold their customer hostage like this???",
"So I am now on the third day waiting for them to actually come to my house to install equipment. I laugh at their commercial that says 2-3 hour window appointments, HA! Yea, sure! This is by far the worst service in all aspects whether it be customer service or in home installation--they stink! In Quincy MA Comcast is a monopoly. There is no other service available for internet and tv. And they know this, I believe that's why they're such jerks. Calling them is incredibly frustrating. I now have to take off another day for the fourth time so I can sit around for an appointment they probably won't make either. Their service stinks, it's way too expensive. Also I tried to go online and order the DVR and have it mailed to me--never came. This is also the second time doing that so figured I'd try inhome appointment... again even more pointless.",
"Comcast is asking customers to sign up for a two year commitment for their best promotion, but they are unwilling to provide even marginally good customer service. After watching my bills climb to $186/month, I requested a disconnect and paid what I was told would be my last payment of $186 last night. I woke up this morning to find that the payment went through to my credit card along with another unauthorized payment of $209. I spent the day trying to get through to the billing department who told me that they would have to send ""a ticket"" to the finance department to have the unauthorized payment reviewed. When I asked to how long it would take to be reimbursed, they said they didn't know. When I asked to speak to someone in the finance department, they said that they couldn't connect me through. I've learned that if you ask too many questions, they just hang up the phone. After four phone disconnects in two weeks, I realized that must be how they are instructed to resolve a conversation. Comcast spends high marketing dollars on free visa gift cards if you refer a friend. Are you kidding me??? If I did that, I wouldn't have any friends.",
"Really Comcast? It's not enough that I pay $200+ per month for your services, but you want to charge me an additional $1.99 per episode to watch ""The Shield!"" A series that was free to watch when it came out on FX! I've heard you do this also with other episodes of old shows that were free to watch when they originally came out! I consider this gouging your customers! :(",
"We only have Comcast bundling out here in Western Mass. You can not even get a bundle thru AT&T and DirecTV. So they jumped my bill up 17.00 this month, stating they had to so Comcast would not lose channels and we have to pay for a service that is awful. I constantly lose internet service. We need help here in Western Mass. This is awful, we can get treated like this!",
"From the first day it was a headache. The technician came out to install and as soon as he started it was already not what I wanted. He added an extra box, apparently an extra outlet and the channels that I wanted were not included with the original price. Then he continuously ignored me asking him to stop the installation process. I decided to call Comcast so they could at least cancel on their end which even though they agreed to, they never actually did. After the installation was complete the technician refused to uninstall saying that it would take a lot of work and he had other jobs to get to. After enough arguing he agreed to come back when done with the other clients which he never did. I was definitely shocked when my first bill was over $300. When I refused to pay it the service was suspended and I was told that to fix any charges I needed to restore it first. There would be a reconnect fee as well as another $200 added on because it would start a new billing cycle. I figured that it would be fixed anyway so it would be ok. However at some point between my dozens of calls I found out that I was in a contract so not only could I not adjust anything I also could not cancel because of early termination fees. Again I refused to pay and was told that a supervisor would contact me to fix this and waited for a call which never came. The account was again put into suspension and is now disconnected with the added cancellation fees totaling $784 for the last 3 months. To top it off I'm once again waiting on a supervisor to return my calls and I am dropping off the equipment to avoid an additional $470. What a nightmare!!",
"In Massachusetts, in bill dated November 27th, Comcast gave notice of price increase effective December 11, 2014. That is very short notice of time. Comcast refuses to reply to me as to why the short time. I am interested in finding out if this is Comcast's policy in the other states. So I am asking people to respond by identifying their state and advising the date of the most recent price increase notice they have received from Comcast and the date of that price increase takes effect in their billing process. In short: date you received notice + date your bank or credit card was debited for the increase. So that this site is not filled with numerous duplicate responses from the same state, please check the answers to see if someone in your state has already responded before you answer.",
"Ongoing problems over one year. They have replaced every item in my house and out to the pole, more than once. Management support, corporate involvement. It doesn't work. Intermittent repetitive issues. Every time, you start from square one. FRUSTRATION. There should come a time when Comcast states... WE CAN'T FIX IT. Time to move on. Has anyone else had a similar experience with the X1 Platform?",
"I was going to pay my past due bill of 258.00 so that I can get services reconnected, but a Comcast employee told me I also must pay a past due bill of a relative. I asked them why when it's not under my name, they went on to tell me, well since that person is related to me I also must pay that past due bill in order to get service under my name. I ask how is it possible to be billed for another person's past due bill, they said it's a policy of theirs that a relative must be charged with an unpaid bill. So in other words I have to be another's past due bill account even though it's clearly not under my name or social security number. I really don't know how that's possible.",
"Comcast, you are robbing customers that made you to stay in business. Most horrified customer service experience. I hope you burn in Hell! It's shame shame shame. I am switching to RCN.",
"I pay for ""Blast"" Internet service with speeds advertised as up to 105Mbps. Not only have I not come close to this speed (the Xfinity service technician ran the Xfinity Speed Test and I was at 13 Mbps), but for the past several weeks and currently, my internet speed is running at a blistering 0.21 Mbps. I called in to ask for a credit to my account for internet speed which is less than their basic internet package speed. I was told that as long as I get any internet service at all, I am not entitled to a credit. That is completely ridiculous as I am paying for speed that I rarely get.",
"I used to pay my Comcast bill automatically every month with a credit card. Then my credit card got hacked, and Comcast's attempt to bill it failed. The bank got me a new credit card with a new account number, which I gave to Comcast. But the Comcast billing system seemed to have blacklisted me for the hacked credit card. From then on, whenever my bill was due, it refused to bill my new credit card--without notifying me. As a result, I would be watching TV and suddenly my service would go out.I would call Comcast's service representative and be told that my service was canceled due to nonpayment. This happened twice. Each time, I would give Comcast my new credit card number.  Each time, they assured me it would work. And each time, it failed silently and Comcast just cut off my TV service for alleged nonpayment. I told them that if it happened again, I was canceling my service. It did happen, and without further ado, I switched to DirecTV.",
"I contacted Comcast, reluctantly, after hearing of so many fraudulent practices, but they are the only gig in town. I called to order internet and cable service. I was told that I would get internet service and a basic cable service with 25 channels for only 39.99 and was also told that I couldn't get internet service only (I don't watch TV). I set up an installation date, rearranged my schedule to meet their needs and never received a confirmation letter. In the meantime, I needed internet service so I went to their website which states that you can receive free wi-fi through many different hotspots. They did provide me with a free hour of service. When the service expired, I went back to looking for the free ""hotspots"" and connected to a secure free x-finity network. However, to get service, I had to pay 19.99, nothing FREE about that, which would take me up to the day they were coming. I called them on that day to confirm and they said that my installation date was a week from that date. I explained that I had been told that day and they apologized. I then asked for a credit for the 19.99, as a courtesy, plus the 19.99 I would be charged for the extra week, plus the 19.99 for the other computer in the house (the 19.99 connection can only be accessed through one device).The customer service rep. put me on hold and came back and said that my bill would reflect a credit from the 70.00 monthly fee that I would be paying. I asked for the original price quoted, plus email confirmation of the installation date, plus credit for having to pay a weekly fee on each computer. I was told I would receive those emails in 5 minutes or so. I received no notification. How did I resolve it? I chose VERIZON instead. I can't get cable TV through them, only satellite, but I wasn't lied to and am not having money extorted from me. Why Comcast is allowed to continue to function under their current fraudulent business practices is beyond me.",
"We have been a Comcast customer for over 15 years at home and have other accounts too. I tried to change our services online as we hardly ever watch TV. Currently, we are paying close to $300 per month for TV, internet and cable. I tried to get $99 per month triple play and it would not let me. I signed as a new customer and got a call in less than a minute, but found out I have to call a different number. When I call the customer service, I was on hold and listening to advertisement for about 15 minutes and then they told me I have to call back on a week day. I ended up cancelling my service and sign up for a new service the next day. That saved me about $3000 per year. Anyone who feels they can charge existing clients about 300% of new customer price, needs to reconsider their business strategy!",
"I wanted to change the number of channels I receive which one would think would be easy to do.... alas over 90 min later with a rep on the line I am still being ""put on hold"". He keeps telling me things that are useless to me like ""Comcast does have packages that start under $100 for new customers"".... Well as a 10+ year Comcast customer, apparently those packages are not available to me, so why tease me! Just give me a fair price for a package that I can use!",
"Comcast has a terrible customer service. My wife was on phone with at least four different reps., asked for mgr and while talking was disconnected. Called back and asked for same mgr and the rep said they will call back, but never did. TERRIBLE SERVICE. I work for a utility co. myself and if we EVER TREATED OUR CUSTOMERS LIKE THIS we would be out of a job. COMCAST SMARTEN UP, will probably look for NEW INTERNET co.",
"The set top box had a defective HDMI port. I took it to the service center - a half hour drive, because they have closed the service center in my town. I was the 8th person in line, with only one person working at the desk. After half an hour, I finally got a new box. I drove home another half hour. The new set top box was defective. After waiting on the phone 20 minutes, and minimal troubleshooting, they set up an appointment to send a technician. They made the appointment for a place I own that is 3 hours away. When I called, they told me the earliest appointment they had was a week and a half away! After complaining, they moved the appointment up by 3 days. The most they could credit my account for all of this outage and failure was $20.00. What horrible service!",
"I had Comcast come out to my house to install a NEW connection. I needed a NEW connection because I had Dish for TV and they already were using the outlet in the room. And I was getting Comcast for Internet/ TV. The guy comes to the house to install the service. Mind you I was not home. Another adult in the house was. The guy then disconnects the coaxial going from the tv to the wall. He then connects the ide the TV was in to the modem and connects Comcast to the wall outlet.I get home and decide to check out my services. I then realize what he did. Now I was being charged for a service that not only didn't happen. But also this guy now messed up my Dish network. I call Comcast and explain to them what happened and that I need them to send someone back out to rectify the situation. The first lady puts me on hold. Somehow she must have pressed a wrong button or something. But I end up back on the phone directory menu. I then get the next lady and explain to her the situation and that they need to reschedule. Well it seems like everything is ok and they sending someone out, right? Wrong. I get a call back from them and their North East division stating the tech cant do what I have just requested. I argue with the lady a bit. Because by now I am just livid. I mean how dare you go to someones house mess up their services. And then wash your hands of the whole situation. Well after arguing with her I hang up. Then I get a strange feeling they canceled my appointment. So I call back the main phone number for them. I then get a guy, I will call him white noise because talking with him most the time there was just white noise. Until I decided to stoke the conversation. Stating I needed a tech sent out and the situation. He then after 20 mins states he will have the tech department call me to see if things are resolved the next day. I state ""What? You aren't gonna send someone out. You gonna just have them call?"" He says yes. I then just hang up the phone. Obviously they either are real dense or they just don't know real CS. So I then call Dish, they have a tech coming out today to fix Comcast's mistakes and put in a new line. At least they know CS. When I get home tonight, I will be calling Comcast billing. Not only should I not have to pay for incorrectly done work, which mind you messed up my other services. But I should also be reimbursed for the money I have to pay to have Dish come out.",
"The services from Comcast are overall pretty good. I get high speed internet, cable tv, and phone from them. The bad thing about Comcast is the inconsistency with their knowledge of their own products and the handling of any issues that might arise. I am above average when it comes to electronics and connecting things. If someone is totally ignorant as to what is needed for optimal performance, then Comcast could be a horror show. Sometimes an operator or a technician who comes to the house are very good at what they do, and at other times you can get stuck with a complete moron. My personal experience was fortunate because most of the people I dealt with were knowledgeable. I know there are many negative reviews but I think there is a problem with every provider from across the country no matter what the brand.",
"Order the new $99 month Comcast Xfinity plan. Receive my boxes on Friday it's now Monday still have no service. The customer service department is horrible. I called twice on Friday to set up my service nothing, I called five times on Saturday and a customer service representative hung up the phone on me. I also called about three or four times on Sunday. A Comcast technician came to my house on Saturday and could not fix the problem. I was guaranteed a technician to stop by today... never showed up! I rather pay $300 to $400 a month for service than to deal with the ** that Comcast has to offer. Comcast does not care about their customers nor do they care about anything else except for making money. I've had Chromecast for four days and I'm done with them. I'm canceling their horrible! I am a barber, I work at a barbershop with five other barbers, 350 clients. Every single person told me that Comcast is the worst.",
"Unfortunately I have been waiting since December to resolve a damage complaint and have made multiple calls to try to resolve the issue. Ticket ** (Comcast has extensive notes in their record). Additionally, I have been assured several times that my expedited ticket would be addressed immediately. I'm still waiting and getting more angry each time I have to call back.Long story short - I bought a new home, and on the day I moved in (Nov. 30) a Comcast installer came to hook up the cable. The installer drilled holes into my wall to the outside presumably to connect to the box. At that point he pushed a wall shingle off of the exterior and broke it, leaving a hole to the exterior that is not protected from the elements (not good in a New England winter). The installer then ran the cable out the wall and stapled it down the exterior wall breaking additional shingles, not saying anything to us about the damage and left. We had cable for about 45 minutes before it went out? We had to have another installer come the next week to get everything working. It was an absolutely unprofessional experience all around.To add insult the installer told us the jack that in the other room was working fine, it was not. We have now been charged because a service worker has come back to reconnect it? Needless to say this situation has been frustrating and has still yet to be resolved. I have been extremely patient with no result and am still in the same place months later and have upset my homeowner's association by having a hole in our wall. One last thing. The Comcast website is very frustrating, maybe its by design. I can't get logged on no matter what I try to do? Does Comcast care at all about their customers... you decide?",
"Comcast and the other companies like it have a monopoly in the areas they work in. I don't see how this is right/legal. I canceled my service with Comcast and had an $80 credit on my account, even though I only paid $60 a month for my services! I now have to wait 30 days for them to process my credit and send me a check. So they make us over pay for a service and when we cancel, they make us wait 30 days to issue us a credit. Great policy for Comcast. Bad Customer service and policy for the people they are gouging.",
"This was sent to Comcast this morning. I have never been as frustrated as I am with Comcast. I will be leaving Comcast----I would rather have an ugly dish hanging off of my deck--which I despise than continue being ROBBED by Comcast. I am a longtime customer. Between May and June of this year I paid $700.00. I just paid 400 dollars in the last week and they say I still owe 300. I pay every single month. I never skip a payment. Two months ago I spoke to a customer service rep and he admitted he didn't see some of my payments online, which truly concerns me---since money is coming out of my account. I spoke to someone on Thursday and his attitude was disgusting; when I told him I paid 700 dollars his attitude and quirkiness in his voice was yeah right...prove it to me and when I came home my service was shut off. AGAIN I PAY every single Month and I am OFFENDED that my bill is sooooo high each month when it is suppose 179.00 and I pay over that amount each month. The fact that they charge 179.00 is unbelievable and unrealistic. I could understand if I am not paying; however I pay every single month.",
"My ex and I contacted Comcast customer support in January to transfer the account out of my name and into his, since he had an apartment lined up and I didn't. The CSR we spoke with assured us this could be done over the phone. Two months later I got a past due call from them saying my account was being suspended for nonpayment. I told them the account wasn't in my name anymore and to contact my ex. A month later it happened again. I asked why they were still calling me, and was told there was no record of any transfer, and they would have to mail me paperwork to fill out and mail back. I cancelled the account at that time and called my ex, who called Comcast, and the CSR he spoke with told him we'd both have to show up in person at a customer center to submit the paperwork... which is what we did. The person we spoke with at the customer center when we appeared assured us the transfer could be completed this way, so we submitted the paperwork.A month later it happened again, only this time they were looking for their equipment. I told them we submitted the transfer paperwork, and was informed that our request was ""declined"" because I didn't follow the instructions properly. I asked how that was possible, since I was following the instructions they gave me, and they told me they had a right to decline the request if they saw fit. I told the CSR to mail the paperwork to my parents' address and I would fill it out and send it back. That request was never honored.  I started receiving text messages and phone calls multiple times a day from Comcast demanding the return of their equipment. I kept trying to explain that I didn't have it and they needed to contact my ex, but every single CSR that contacted me informed me I was still responsible for the account and therefore responsible for returning the equipment. I called my ex and he swore he would return the equipment. I received a phone call from a collection agency, explaining that Comcast had sent my account to collection because the equipment was never returned - I didn't even know that was possible. I explained the whole horror show to the collection agent and gave them my ex's contact information and asked them to call him. At that time I filed a complaint against Comcast with the Better Business Bureau. Less than two weeks later I got a phone call from a Comcast Executive person who tried to tell me the original request for the transfer wasn't done because my ex had a prior account with Comcast that was never satisfied, so he wasn't eligible for an account. I asked her why in all this time not one person ever mentioned that before, and in fact why I had been given a number of other reasons for the request not being honored, and she told me - in all honesty - ""Our employees cannot be expected to have that kind of information"". When I asked her how I was supposed to know such a thing, if no one ever bothered to mention it in all this time, her response was that my ex should have been honest with me and told me, himself. Then I asked why I was still being held responsible for the account. She informed me that I was responsible because I was the one that was ""with him"" at the time. I'm not paraphrasing. This is exactly what she said to me. At that point, I completely lost it and started yelling and swearing at her. I dared her to sue me. I was beyond out of my mind with anger and frustration, and I absolutely could not believe a service professional was saying these things to me.As a side note: my ex has not been contacted even once by anyone at Comcast to discuss the reasons for the request being ""declined"" or to inquire about another account that wasn't satisfied. As far as he is aware, any prior account he had with them was paid in full. I have never in my life been so disgusted with a service provider. Not once has a single employee of Comcast been honest with me, been willing to work with me to resolve the issue, been willing to accept responsibility for the issue, or anything. Since this whole mess got started, every employee of Comcast I've spoken with has put the blame and responsibility on me alone. I kept asking what more they wanted me to do, and not one of them ever answered me, so I still haven't been given a clear way to resolve the problem. It's as if the company does not want the issue resolved at all, which I cannot understand. What do they possibly have to gain by preventing me from concluding my business with them???",
"I have two HD TVs, each with cable boxes. One has ""RNG150"" above the power button; the other ""RNG150N"" on the lower right hand front corner. Changing channels using the ""RNG150N"" box takes 3-5 seconds, resulting in a series of black screens and sometimes a grey screen. The ""RNG150"" box has no problem changing channels. I have swapped the boxes between the two TVs and the result using the ""RNG150N"" box is the delay in channel change. I have complained to Comcast for almost a year now, requesting that they replace the ""RNG150N"" box with a ""RNG150"". They claim they can't because they don't know if they have one in the service center or with a tech.",
"Came off seasonal disconnect on May 1. I visited the house on June 8 and found all COMCAST service dead as a door nail. Comcast box in basement had no lights. I arranged for tech to come out on June 13. Tech spent 2.5 hrs and fixed everything including a new interface box in the basement. I contacted customer service on June 17. They told me because of seasonal disconnect, they would give me a credit of $256. Asked if I should pay the current bill, they said, ""Wait till you get the credit."" NO credit on the bill. I called and they said, ""There is no indication from the last rep that you would be getting a $256 credit."" I spoke to a supervisor and all he could belch up was scripted garbage. He did not even know what CRM was!! He did not even know the rep who authorized the $256!! I asked for his supervisor to call me back... ""They're all at a meeting. I will send them an email,"" he said. More garbage... what do you believe no one will call me back!!!",
"Let me start off by stating I cannot wait until the day comes that Comcast goes the way of AOL. Since my very first apartment, I've had non-stop issues with Comcast's slimy fees and money-squeezing tactics. On my first bill at my new apartment, I paid the amount due in full via bank transfer, filling out my account number, routing number, etc. on their website. Mind you, this is how I pay for every other service I have (cell phone, utilities, credit card bill, etc.) and somehow Comcast is the only one that manages to screw it up.So after I made my payment online, I got a confirmation screen showing my balance was paid. When I logged back online several times after, it continued to show $0.00 due. About a month later, Comcast mailed me a letter saying my service would be shut off for non-payment, and that I have to contact their CS to resolve this. I did so, and the Comcast automaton, who clearly worked from a script, kept telling me I owe $200 something for non-payment. I explained to him multiple times that I was logged onto my account right now while talking to him on the phone and was looking at a screen that said I paid the bill in full. The automaton told me he didn't know what I was talking about and basically I had to make a payment right then and there to reactivate my service. After doing so, as expected, my next bill had a list of fees totaling about $50 (return payment fee - $20, reactivation fee $5 each for phone, internet, and cable, late fee - $6, payment over the phone fee $6).I still don't know what happened to the phantom payment I made, but basically Comcast's opinion is that my payment didn't go through even though their own account online said it did, and I'm 100% liable for all their fees. They refuse to refund anything or even accept responsibility for their website's error which said the payment went through. This is absolutely incredible. The only thing I can think of is maybe I entered a number wrong, which in that case it should have declined the payment. Instead, Comcast charges you $20. Could you imagine if you were charged a $20 fee for every payment you made online that didn't go through? I can't believe Comcast is still in business. I can understand why they are trying to re-brand themselves as Xfinity. Given the decades of horrible service, Comcast has a stigma of service somewhere on the same level as USPS, and quite deservedly so.",
"I am disputing an install fee that Comcast has unlawfully charged me. I signed up with Comcast on 6-8-12. I was sent a self-install kit to install it myself. After trying repeatedly, I was unable to get the cable or internet to work. I spoke to Comcast and they sent out a technician the next day. When I had met with the technician, he determined that the apartment I was living in did not have the cable from the telephone pole to the house that was needed to have Comcast service. He assured me this was not my fault, that they should have never sent me the self-install kit to begin with. I spoke with Comcast a few days later and they agreed to credit my account the cost of the installation. The next bill I received did not have the credit and now Comcast is saying I will have to pay the install bill. I am disputing this charge. Please assist.",
"I called to set up a payment arrangement on 6/18/2012. The payment was to be withdrawn from my checking account on 6/22/2012. The payment was withdrawn immediately. I called Comcast and spoke to several people in multiple departments, including a supervisor. I informed the supervisor that the early withdrawal would cause other outstanding checks to bounce, causing me embarrassment and many dollars in fees. They informed me that there was no record on the computer of my intent to pay on the 22nd. So, I said, that doesn't change the error. They refused to reverse the payment. I told them I would be taking any overage fees from my next Comcast bill and was told they would disconnect my service. She said they have no policy of accepting payments made in the future. Not my issue if the representative is not trained properly, she accepted the date of payment. When I asked to speak to someone else, she chuckled and said she'd look for someone. Then I was disconnected.",
"I'm outraged at the cost of basic cable (10 channels) and internet - $60/month. I purchased a bundled service with Comcast last year. I was told I didn't have a contract, yet this year the fees increased by 33%, and they can't even tell me how long this next step in the pricing is good for. When I asked what options I have, the answer is, you can pay more and get less service (i.e significantly slower internet). Obviously, I'm only a basic user and there are no competitors in my area. I'm stuck.I want a business model where I have a monopoly and can raise prices 33% per year and call what I deliver a promotion. Do they really think they are giving us a deal? Does it really cost $60 per month for internet service and 10 (what should be ""free"") channels? Someone needs to oversee these people and force them to provide their service at a reasonable price, especially if there are no competitors. Ridiculous!",
"On April 21 and April 22, 2012, I attempted to pay an outstanding balance with Comcast online. I am a paperless customer. I completed the procedure twice and got a ""try again later"" message both times. On April 22, I tried to contact Comcast, but their online ""help"" is useless and I couldn't find a telephone number on the webpage where I could call. So I sent an email outlining my problem - difficulty paying online, paperless-billing customer, would my account be double-debited for the $425.57 payment, would my service be disconnected? A return email directed me to a Comcast online ""analyst"" who said I couldn't be helped because I didn't have my Comcast billing number (remember, I'm paperless) and I wouldn't give the last four digits of my SSN number. Both my husband and I have been victims of identify theft. I don't give out my SSN to anyone, but my physician and my bank. So I'm stuck. Either I've paid my bill or it haven't. Either my account will be double-debited for the same amount or it won't. This is not customer service. This is customer abuse. It is very difficult to get a problem addressed by Comcast. If I had an alternative, like switching to another cable provider, I'd do it in a heartbeat. But I'm self-employed and need the internet to work, as does my husband. Hope you can help by collecting dissatisfied customer data.",
I discovered that SoapNet is out of line up. I want it back!,
"I called to cancel Showtime from my cable bill. My name is Maureen **. My husband Harry died in 2008. His name is on the account. Since his death, I have added internet service and premium station. In order for me to cancel Showtime, they want a death certificate. I have written every check since the 70's when we signed up for cable. I spend one and a half hours trying to get a supervisor, email address or even who to write. No one has called me back and I am totally frustrated. ",
"I had Comcast installed on October 14, 2011. I was told that if I kept my account in good standing, I would receive a $100 gift card within 6-8 weeks after my first 90 days. On March 5, 2011, I called to see when my gift card should be arriving. I spoke with the customer rep and she told me that it is in the mail and I should receive it by the end of the week. If not, call them back on the 12th. So I called back on the 12th and spoke to another rep who said it was in my records that I called but no info about my card. I was then sent to the rebate department. I was told there that Comcast never sent over the information and no card was even in the process of being sent. I had to call back and asked to speak to a supervisor. I was told it would take another 6-8 weeks for my card and she was not sure why I was told it was in the mail. I asked what they are going to do about this. She told me that she would send a note to the supervisor of the rep who told me it was in the mail and I would get a call back today 3-12-12. Well, there’s no call back. I told the supervisor that I was not the type of person to write things down. I would never have gotten my gift card and Comcast would not have mailed it out to me and I would be out the $100. Can you imagine all the people out there that have forgotten about this gift card? I am more angry that I was lied to and no one even cared enough to call me back and try to explain what happened. My contract ends on October 14, 2013 and I will not renew my contract with Comcast. I want and need answers to what happened. I pay over $150 a month to this company and they could care less about there customers. It’s not a very good way to get new or keep old customers. Thank you.",
"I was charged for a tech to come out and fix my cable due to defective equipment. Unbelievable! I’m on hold for 30 minutes just to speak with a manager and there’s no help. They’re saying too bad, not their fault. Not only that, they blew my TV one year earlier for not grounding the wires in the basement when they first installed cable at my house.",
"I am 67. In all my years. I have never, ever dealt with a worse company in terms of product. Your support people are lovely and they trying to be helpful. But let me tell you what we have suffered with Comcast cable TV and Comcast Tivo: Awful, awful service. We have been able to use our TV about 2 months out of the last 12. We have had your service people here at least 15 times in the last year or so. We simply never can watch TV. Our service is always not working. I asked for a supervisor to call me back. None did. If I say that I will take your follow-up survey, the phone rings but there is no one there. I feel as if I am in the third world of a third world country. You truly can't represent yourselves as a service. You are a disgrace. We are switching service: Our computer, our TV, our phone and will never, ever use a Comcast service again. Further, I will be contacting our reps in congress to point out that you do not merit your licensing.",
"I reduced my Comcast cable service from Digital Starter to Digital Economy to save $40 per month as I was not using the extra services and channels.The channels clearly listed in the Price adjustment information sent out in December 2011 effective 1/22/2012. Problem is the second and third TV using the small converter box now only get half of the channels advertised in the listing. There is no mention of this in the footnotes of the terms of service. I think Comcast should have to live up to what is advertised and allow these channels to be viewed on the second and third TVs, not only one TV.",
"A dispute regarding an upgrade order and 'installation charge' resulted in a phone call to their customer service center. They charged me installation fees though the order clear said they were waived. After being told that I would have to send a signed copy of the order to them for proof (it was their order! They got three copies and I got one when it was penned!), I asked to speak to a supervisor. I got a friendly, ""Sure, please hold..."" After 10 minutes, they simply hung up on me. When I called back, I was told that my previous call (10 minutes before hand) had been successfully closed with the issue being ""resolved to customers satisfaction."" Based on both of these experiences, I concluded that Comcast hires liars and cheats. I sent in copies of the paper work.",
"I was lied to, straight out. They quoted me a specific price for a package and specific stations on phone for more than 1 hour discussing monthly fee. On the same evening, the home channels discussed and ordered were not activated. The bill was approximately $20.00 more than quoted. Our conversation was recorded. How can I expose this? Some one help. I'm locked into 1 year contract at price much higher than agreed upon.",
"I have been trying to get my guide fixed but Comcast can't even get my address right. Their customer guarantee is a joke. They are rude, keep you on hold forever when you call. Comcast needs to be investigated.",
"We have been without cable since Oct. 29th when we had a bad storm.  We have made repeated calls and waited many times for over 1/2 hour to speak to someone.  At first, they would tell us that someone would call us back the next day and no one did.  So, we would make several calls back.  This has been going on for over a week.  We are told every day that we are on the schedule for the next day and voila, they never showed up.  This is the worst customer service that we have ever experienced.  It’s been 15 days with no service.  All our neighbors are up and running and our cable is still on the ground.  When we get a chance to switch to another company, we will do it in a heartbeat.  This is ridiculous.",
"I have had multiple home visits from them to replace nonworking DVR boxes.  But after eight months, I am still having problems.",
"Plain and simple--Comcast is awful.  Upon moving to a new apartment, we contacted our cable and Internet provider at the time (Verizon) to have our service hooked up at the new address.  Unfortunately, the move took place during the strike and we were told that they would not be able to hook up our service until the strike was over.  We went without cable and Internet for three weeks and finally decided to go with the only other option we had left (besides satellite TV), Comcast.  We reluctantly went forward with the decision since Verizon has Comcast beat by a mile from prices, packages, and quality.Comcast has an angle for everything and charges tons of extra money for things that Verizon automatically includes in their service.  We have had Comcast for less than a month.  While the Internet connection is fair, the cable quality is downright awful.  The channels continuously go blank or ""scrambled"" for several minutes at a time and the Channel Guide seems to reset and has ""To Be Announced"" in place of program titles.  Needless to say, after less than a month of service with Comcast, we are switching back to Verizon now that the strike is over.",
"I have had to replace my cable box three times in the last three months.  This was due to service interruptions or certain aspects of my cable package not functioning properly.  A technician came out to my apartment and replaced my current box (500 gb of DVR storage) with a refurbished model (100 gb).  According to the company, consumers across the board are paying the same price for different amounts of memory service.  Within 4 days, the refurbished cable box had stopped working.  I was told I would be charged for another service call, and that I had to go to a service station to replace the cable box myself.",
"I've been without cable since Sunday, 8/28/11 and today is Wednesday, 8/31/11. I'm very upset about this - no cable, no phone, and no internet. I've been a Comcast customer for years and this is very bad. I know about the storm but four days is too much. I hope when I get home tonight it will be on. ",
"Late last summer my 46 inch TV stopped wprking. I called Comcast as I wanted to see if it was my TV or the cable box. The repairman came out just use some electrical testing equipment and said the box was good, but the TV was no good. I asked him if he could hook up another box to my set and be sure. He said he didn't have room in his truck for another box. (These are quite small). I told him I had another box on a TV upstairs, could he use that one. He said I don't have time, it's your set! That day I bought a new 47 inch LG set from Best Buy. It was delivered 3 weeks later as in Massacusetts they had a sales tax weekend and it created quite a backlog of orders.It was the box all along. I called Comcast and they sent another man along who brought in a new box, which did work, but for their cheaper program. I told him I wanted the one I was supposed to get and he told me they were all out, but he knew where he could get one in a few days. Later that day I called Comcast and they did have the correct boxes in stock and a new one was installed.I called Comcast about the initial repair persons error, but was told I should have gotten a second opinion.",
"They 'upgraded' the guide 7/11/11 and without notification or price change eliminated: timers; ability to save dvr shows onto vhs tape (a huge thing!); can't view 5 programs on guide, 1 line hidden by new ad space which keeps bleeping in and out; no more audio/video settings to customize view; have to change view settings to one-view to read all guide info. ",
"I have ""basic cable."" I used to get the Red Sox baseball games and the local news on basic cable. Xfinity changed that so all I get with ""basic cable"" is a bunch of Spanish channels, two Boston channels and a bunch of PBS stations. I can no longer get Red Sox baseball or the New England Patriots football. Both of these sports programs are available off-the-air in the Boston area and according to my interpretation of the FCC rules, therefore are supposed to be duplicated on the cable.Therefore, Comcast violates FCC rules. Any attempt to fix this, either through the FCC or through Comcast fails. Comcast claims that any lawsuit will fail because their lawyers are paid for by their stockholders while my lawyers are paid out of my pocket so I should, ""see the consequences of any such action."" This was their response when I threatened to sue them.",
